order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region_x,discount_applied,product_name,category,launch_date,base_price,supplier_code,email,signup_date,gender,region_y,loyalty_tier,revenue,order_week,price_band,days_to_order,email_domain,is_late
O216425,C00211,P0019,1,32.05,2025-07-28,Delayed,Bank Transfer,South,0.15,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,ingramjill@anderson-bell.com,2025-05-17,Male,North,Silver,27.242499999999996,31,High,376.0,anderson-bell.com,True
O121091,C00276,P0022,4,12.88,2025-07-27,Cancelled,Credit Card,Central,0.2,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,kevin90@yahoo.com,2025-03-16,Female,West,Gold,41.21600000000001,30,Low,296.0,yahoo.com,False
O930213,C00369,P0010,4,10.43,2025-07-26,Cancelled,Paypal,South,0.0,Cleaning Product 70,Cleaning,2024-08-14,17.72,S321,taylorkaren@yahoo.com,2025-06-27,Other,West,Bronze,41.72,30,Low,346.0,yahoo.com,False
O342894,C00171,P0030,1,31.96,2025-07-25,Delivered,Bank Transfer,South,0.0,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,moorekaren@craig.info,2025-03-20,Male,Central,Silver,31.96,30,High,112.0,craig.info,False
O471486,C00423,P0007,2,39.93,2025-07-24,Cancelled,Paypal,Central,0.0,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,ycrawford@hotmail.com,2024-12-18,Male,East,Bronze,79.86,30,High,297.0,hotmail.com,False
O728183,C00040,P0021,5,39.59,2025-07-23,Delivered,Credit Card,Central,0.15,Kitchen Product 70,Kitchen,2024-09-28,20.23,S643,josephjacobs@cooper.net,2025-01-11,Female,East,Gold,168.25750000000002,30,High,298.0,cooper.net,False
O860527,C00334,P0025,5,46.67,2025-07-22,Delayed,Paypal,South,0.0,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,stephentaylor@gmail.com,2024-12-06,Female,South,Gold,233.35000000000002,30,High,371.0,gmail.com,True
O658934,C00463,P0025,4,19.29,2025-07-21,Delayed,Credit Card,West,0.1,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,earmstrong@gmail.com,2024-09-10,Other,West,Bronze,69.444,30,Medium,370.0,gmail.com,True
O702676,C00374,P0019,1,36.28,2025-07-20,Delivered,Bank Transfer,West,0.0,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,sreid@horn-flynn.biz,2024-09-28,Female,North,Gold,36.28,29,High,368.0,horn-flynn.biz,False
O145341,C00470,P0024,1,29.47,2025-07-19,Cancelled,Paypal,East,0.1,Storage Product 87,Storage,2025-02-24,26.33,S558,,2024-07-17,Female,North,Silver,26.523,29,Medium,145.0,unknown.com,False
O291982,C00329,P0019,5,41.7,2025-07-18,Delivered,Paypal,East,0.05,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,rward@gmail.com,2024-08-26,Female,South,Gold,198.075,29,High,366.0,gmail.com,False
O577920,C00480,P0015,4,28.58,2025-07-17,Delayed,Paypal,East,0.0,Storage Product 10,Storage,2024-08-08,39.21,S466,gabrielle71@yahoo.com,2024-10-21,Other,Central,Silver,114.32,29,Medium,343.0,yahoo.com,True
O960238,C00259,P0009,2,9.58,2025-07-16,Delayed,Credit Card,East,0.2,Outdoors Product 13,Outdoors,2025-04-18,8.0,S695,ledwards@yahoo.com,2025-06-25,Female,West,Gold,15.328000000000001,29,Low,89.0,yahoo.com,True
O966135,C00464,P0028,1,26.29,2025-07-15,Cancelled,Paypal,West,0.0,Outdoors Product 53,Outdoors,2025-04-10,34.28,S587,mthomas@hotmail.com,2025-04-01,Male,Central,Gold,26.29,29,Medium,96.0,hotmail.com,False
O453905,C00398,P0017,2,32.1,2025-07-14,Delivered,Paypal,South,0.1,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,karamarks@hotmail.com,2025-06-15,Other,Central,Bronze,57.78,29,High,210.0,hotmail.com,False
O357468,C00070,P0025,2,12.47,2025-07-13,Delivered,Credit Card,East,0.15,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,wwoods@molina-castaneda.biz,2025-01-31,Male,Central,Gold,21.199,28,Low,362.0,molina-castaneda.biz,False
O671288,C00197,P0014,4,15.06,2025-07-12,Delayed,Credit Card,North,0.0,Outdoors Product 91,Outdoors,2025-02-02,13.22,S876,xwilliams@ball.info,2024-10-04,Other,West,Gold,60.24,28,Medium,160.0,ball.info,True
O566495,C00500,P0013,1,41.14,2025-07-11,Delivered,Paypal,Central,0.0,Cleaning Product 94,Cleaning,2025-06-17,36.52,S914,jasonjohnson@jackson.com,2024-11-28,Male,North,Gold,41.14,28,High,24.0,jackson.com,False
O508604,C00331,P0022,1,14.6,2025-07-10,Cancelled,Bank Transfer,Central,0.2,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,asmith@yahoo.com,2025-05-04,Female,West,Gold,11.68,28,Low,279.0,yahoo.com,False
O455877,C00414,P0029,3,37.44,2025-07-09,Cancelled,Bank Transfer,East,0.0,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,charlesharris@hotmail.com,2024-08-17,Male,South,Gold,112.32,28,High,116.0,hotmail.com,False
O175998,C00170,P0016,1,47.46,2025-07-08,Delayed,Bank Transfer,North,0.05,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,vbarnes@wood.com,2025-05-03,Male,West,Gold,45.086999999999996,28,High,138.0,wood.com,True
O393004,C00284,P0011,4,49.08,2025-07-07,Delivered,Paypal,East,0.15,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,tchambers@johnson.com,2025-02-15,Male,East,Gold,166.87199999999999,28,High,104.0,johnson.com,False
O198320,C00392,P0001,3,18.38,2025-07-06,Delivered,Credit Card,West,0.15,Storage Product 39,Storage,2025-03-11,15.88,S339,livingstonstacy@hunter-fuller.net,2025-04-29,Female,West,Gold,46.869,27,Medium,117.0,hunter-fuller.net,False
O223293,C00070,P0007,5,9.06,2025-07-05,Delivered,Bank Transfer,West,0.2,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,wwoods@molina-castaneda.biz,2025-01-31,Male,Central,Gold,36.24,27,Low,278.0,molina-castaneda.biz,False
O698994,C00301,P0024,3,45.59,2025-07-04,Delayed,Paypal,East,0.05,Storage Product 87,Storage,2025-02-24,26.33,S558,adamsemily@williams.org,2025-04-13,Female,Central,Gold,129.9315,27,High,130.0,williams.org,True
O532137,C00043,P0029,1,28.46,2025-07-03,Delayed,Credit Card,West,0.2,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,davenportbrandi@jordan.com,2024-11-24,Female,East,Silver,22.768,27,Medium,110.0,jordan.com,True
O577109,C00416,P0005,4,49.91,2025-07-02,Delivered,Credit Card,East,0.05,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,hbaker@gmail.com,2024-09-05,Female,West,Gold,189.658,27,High,255.0,gmail.com,False
O641343,C00274,P0017,5,29.41,2025-07-01,Delivered,Credit Card,South,0.05,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,cherylfowler@wilcox-robertson.com,2024-12-08,Female,South,Gold,139.6975,27,Medium,197.0,wilcox-robertson.com,False
O333120,C00006,P0027,1,45.44,2025-06-30,Delayed,Credit Card,Central,0.1,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,wyattmichelle@yahoo.com,2024-10-21,Male,Central,Bronze,40.896,27,High,282.0,yahoo.com,True
O813745,C00399,P0010,5,22.25,2025-06-29,Delivered,Bank Transfer,Central,0.0,Cleaning Product 70,Cleaning,2024-08-14,17.72,S321,rogersruben@brown.com,2025-01-14,Male,North,Bronze,111.25,26,Medium,319.0,brown.com,False
O544747,C00381,P0029,5,24.19,2025-06-28,Delivered,Credit Card,East,0.05,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,lmiller@stone.com,2024-07-09,Male,South,Gold,114.9025,26,Medium,105.0,stone.com,False
O468789,C00366,P0015,5,33.07,2025-06-27,Delayed,Paypal,North,0.2,Storage Product 10,Storage,2024-08-08,39.21,S466,gonzalesvictoria@gmail.com,2024-09-25,Female,North,Bronze,132.28,26,High,323.0,gmail.com,True
O627148,C00180,P0022,4,17.33,2025-06-26,Delayed,Bank Transfer,South,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,fosterkyle@yahoo.com,2024-09-30,Other,West,Gold,69.32,26,Medium,265.0,yahoo.com,True
O935520,C00434,P0004,3,30.3,2025-06-25,Delayed,Paypal,South,0.0,Kitchen Product 82,Kitchen,2025-04-19,9.13,S589,brendastark@mathis.com,2024-11-28,Male,West,Gold,90.9,26,High,67.0,mathis.com,True
O544861,C00495,P0011,2,40.78,2025-06-24,Delayed,Credit Card,North,0.1,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,mcclainkatherine@hotmail.com,2024-09-18,Male,Central,Gold,73.40400000000001,26,High,91.0,hotmail.com,True
O459284,C00365,P0021,2,35.38,2025-06-23,Delayed,Paypal,North,0.1,Kitchen Product 70,Kitchen,2024-09-28,20.23,S643,pgarcia@evans.info,2024-10-16,Male,West,Silver,63.684000000000005,26,High,268.0,evans.info,True
O180874,C00066,P0029,4,43.89,2025-06-22,Cancelled,Bank Transfer,Central,0.2,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,katie87@allen.com,2024-10-19,Other,South,Gold,140.448,25,High,99.0,allen.com,False
O241823,C00224,P0016,5,21.08,2025-06-21,Delayed,Paypal,East,0.05,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,nathan19@gmail.com,2025-01-27,Female,West,Gold,100.12999999999998,25,Medium,121.0,gmail.com,True
O756742,C00077,P0013,5,13.7,2025-06-20,Delayed,Paypal,East,0.0,Cleaning Product 94,Cleaning,2025-06-17,36.52,S914,davidcaldwell@gould.com,2024-09-09,Female,Central,Gold,68.5,25,Low,3.0,gould.com,True
O210583,C00384,P0026,4,38.54,2025-06-19,Delivered,Credit Card,West,0.0,Storage Product 50,Storage,2025-02-08,27.06,S952,darlenebyrd@gmail.com,2025-01-28,Female,South,Bronze,154.16,25,High,131.0,gmail.com,False
O778545,C00195,P0001,2,27.55,2025-06-18,Cancelled,Credit Card,West,0.0,Storage Product 39,Storage,2025-03-11,15.88,S339,jeremytaylor@gmail.com,2024-10-28,Female,Central,Silver,55.1,25,Medium,99.0,gmail.com,False
O250174,C00181,P0011,2,24.53,2025-06-17,Delayed,Bank Transfer,South,0.1,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,charlesschultz@hotmail.com,2025-01-20,Other,South,Bronze,44.154,25,Medium,84.0,hotmail.com,True
O779423,C00152,P0022,3,35.67,2025-06-16,Delivered,Paypal,West,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,john29@jones.com,2025-02-18,Other,North,Silver,107.01,25,High,255.0,jones.com,False
O158221,C00443,P0017,5,21.31,2025-06-15,Cancelled,Credit Card,South,0.0,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,amy17@hotmail.com,2025-03-15,Female,West,Silver,106.55,24,Medium,181.0,hotmail.com,False
O415017,C00263,P0002,1,31.39,2025-06-14,Cancelled,Credit Card,Central,0.0,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,xcardenas@gmail.com,2024-10-26,Male,Central,Gold,31.39,24,High,300.0,gmail.com,False
O411654,C00357,P0005,5,38.0,2025-06-13,Delivered,Credit Card,West,0.0,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,powerslawrence@gmail.com,2024-11-01,Male,Central,Silver,190.0,24,High,236.0,gmail.com,False
O545752,C00020,P0022,2,19.1,2025-06-12,Delivered,Credit Card,East,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,josephbrennan@yahoo.com,2024-09-26,Female,East,Gold,38.2,24,Medium,251.0,yahoo.com,False
O970556,C00465,P0011,3,29.38,2025-06-11,Cancelled,Bank Transfer,North,0.05,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,fosternatasha@hotmail.com,2024-10-06,Female,Central,Gold,83.73299999999999,24,Medium,78.0,hotmail.com,False
O493424,C00356,P0003,1,32.26,2025-06-10,Delivered,Bank Transfer,South,0.05,Cleaning Product 85,Cleaning,2024-07-15,7.92,S745,megan92@hotmail.com,2025-04-06,Female,South,Gold,30.646999999999995,24,High,330.0,hotmail.com,False
O209171,C00415,P0030,5,38.84,2025-06-09,Cancelled,Bank Transfer,North,0.2,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,martinsteven@martinez-howard.com,2024-12-28,Female,South,Gold,155.36,24,High,66.0,martinez-howard.com,False
O422815,C00272,P0017,1,44.92,2025-06-08,Delivered,Credit Card,North,0.2,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,znelson@rivera.info,2025-03-14,Female,South,Silver,35.936,23,High,174.0,rivera.info,False
O112343,C00420,P0029,2,45.57,2025-06-07,Delayed,Credit Card,Central,0.0,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,greertoni@gonzalez.com,2025-03-29,Male,East,Bronze,91.14,23,High,84.0,gonzalez.com,True
O129237,C00342,P0022,4,15.33,2025-06-06,Delayed,Paypal,East,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,mjones@yahoo.com,2025-02-17,Other,East,,61.32,23,Medium,245.0,yahoo.com,True
O418152,C00110,P0030,2,48.25,2025-06-05,Cancelled,Credit Card,West,0.1,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,harrisonricky@yahoo.com,2025-03-23,Female,South,Gold,86.85000000000001,23,High,62.0,yahoo.com,False
O359098,C00352,P0014,4,11.54,2025-06-04,Delivered,Credit Card,South,0.05,Outdoors Product 91,Outdoors,2025-02-02,13.22,S876,jacobsandoval@yahoo.com,2024-07-17,Other,West,Gold,43.852,23,Low,122.0,yahoo.com,False
O772183,C00045,P0026,2,30.96,2025-06-03,Delayed,Paypal,West,0.15,Storage Product 50,Storage,2025-02-08,27.06,S952,michellecherry@keith.com,2025-04-18,Female,West,Bronze,52.632,23,High,115.0,keith.com,True
O399621,C00147,P0016,3,31.26,2025-06-02,Cancelled,Bank Transfer,Central,0.1,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,vwatson@hotmail.com,2025-01-31,Male,East,Gold,84.402,23,High,102.0,hotmail.com,False
O362898,C00452,P0025,1,37.16,2025-06-01,Delivered,Credit Card,East,0.0,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,nathanjames@gmail.com,2024-12-26,Female,West,Bronze,37.16,22,High,320.0,gmail.com,False
O657302,C00338,P0016,1,28.45,2025-05-31,Delayed,Bank Transfer,North,0.0,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,markramirez@yahoo.com,2024-11-24,Male,South,Gold,28.45,22,Medium,100.0,yahoo.com,True
O691691,C00033,P0030,1,30.05,2025-05-30,Cancelled,Credit Card,Central,0.05,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,larsonemma@powell.com,2025-02-15,Other,North,Gold,28.5475,22,High,56.0,powell.com,False
O712157,C00372,P0015,3,17.09,2025-05-29,Cancelled,Credit Card,East,0.0,Storage Product 10,Storage,2024-08-08,39.21,S466,,,,,,51.269999999999996,22,Medium,294.0,unknown.com,False
O622429,C00056,P0016,1,45.87,2025-05-28,Delayed,Credit Card,Central,0.15,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,christinaturner@hotmail.com,2025-05-25,Male,South,Bronze,38.9895,22,High,97.0,hotmail.com,True
O429017,C00131,P0028,5,24.03,2025-05-27,Delivered,Bank Transfer,North,0.0,Outdoors Product 53,Outdoors,2025-04-10,34.28,S587,gregorylynch@harvey-allen.org,2024-08-30,Male,Central,Gold,120.15,22,Medium,47.0,harvey-allen.org,False
O773027,C00172,P0005,5,28.61,2025-05-26,Delivered,Paypal,Central,0.1,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,alawson@yahoo.com,2024-09-27,Female,East,Bronze,128.745,22,Medium,218.0,yahoo.com,False
O486175,C00441,P0026,1,48.56,2025-05-25,Delivered,Bank Transfer,Central,0.1,Storage Product 50,Storage,2025-02-08,27.06,S952,sean43@steele.com,,Female,South,Bronze,43.704,21,High,106.0,steele.com,False
O914359,C00386,P0027,1,34.25,2025-05-24,Delayed,Paypal,South,0.1,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,mosleydonald@lawrence.com,2024-12-19,Other,East,Gold,30.825,21,High,245.0,lawrence.com,True
O251988,C00052,P0029,5,27.55,2025-05-23,Delayed,Credit Card,South,0.1,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,gobrien@gmail.com,2024-12-02,Female,East,Gold,123.97500000000001,21,Medium,69.0,gmail.com,True
O310886,C00256,P0029,4,40.76,2025-05-22,Delayed,Bank Transfer,East,0.2,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,ojackson@harvey.com,2024-07-18,Female,East,Gold,130.432,21,High,68.0,harvey.com,True
O536236,C00192,P0019,3,32.04,2025-05-21,Delivered,Paypal,Central,0.0,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,christopher25@ponce-hale.biz,2024-08-25,Female,West,Gold,96.12,21,High,308.0,ponce-hale.biz,False
O782603,C00259,P0016,4,43.95,2025-05-20,Delayed,Credit Card,South,0.0,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,ledwards@yahoo.com,2025-06-25,Female,West,Gold,175.8,21,High,89.0,yahoo.com,True
O673771,C00126,P0022,3,44.95,2025-05-19,Delivered,Credit Card,North,0.1,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,matthew61@yahoo.com,2025-06-02,Female,West,Silver,121.36500000000002,21,High,227.0,yahoo.com,False
O821870,C00371,P0011,5,39.49,2025-05-18,Delayed,Credit Card,East,0.0,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,othomas@yahoo.com,2025-03-06,Other,North,Silver,197.45000000000002,20,High,54.0,yahoo.com,True
O521398,C00419,P0010,4,40.27,2025-05-17,Delivered,Bank Transfer,South,0.15,Cleaning Product 70,Cleaning,2024-08-14,17.72,S321,codygarcia@gmail.com,2024-08-22,Female,South,Bronze,136.918,20,High,276.0,gmail.com,False
O198927,C00139,P0006,1,29.26,2025-05-16,Delayed,Credit Card,North,0.15,Cleaning Product 16,Cleaning,2024-10-09,36.06,S980,browningmark@thompson-anderson.net,2025-06-11,Other,Central,Bronze,24.871000000000002,20,Medium,219.0,thompson-anderson.net,True
O293081,C00449,P0025,3,26.26,2025-05-15,Delivered,Credit Card,South,0.1,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,briansmith@gmail.com,2024-10-28,Female,East,Silver,70.902,20,Medium,303.0,gmail.com,False
O911659,C00152,P0001,4,9.6,2025-05-14,Cancelled,Bank Transfer,North,0.05,Storage Product 39,Storage,2025-03-11,15.88,S339,john29@jones.com,2025-02-18,Other,North,Silver,36.48,20,Low,64.0,jones.com,False
O312192,C00469,P0022,4,49.75,2025-05-13,Delivered,Credit Card,West,0.05,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,alewis@washington.com,2025-01-22,Female,North,Silver,189.04999999999998,20,High,221.0,washington.com,False
O494631,C00239,P0030,2,29.19,2025-05-12,Delayed,Paypal,South,0.0,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,djones@gmail.com,2024-12-23,Female,South,Bronze,58.38,20,Medium,38.0,gmail.com,True
O301929,C00221,P0025,3,18.29,2025-05-11,Cancelled,Bank Transfer,Central,0.15,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,lambertrichard@owen.com,2025-05-31,Female,West,Silver,46.6395,19,Medium,299.0,owen.com,False
O101648,C00238,P0011,1,19.39,2025-05-10,Delayed,Credit Card,South,0.0,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,zsanchez@hotmail.com,2024-12-10,Male,South,Silver,19.39,19,Medium,46.0,hotmail.com,True
O753282,C00008,P0007,4,39.63,2025-05-09,Cancelled,Bank Transfer,East,0.05,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,amandasanchez@gray-mayo.net,2024-09-29,Male,Central,Gold,150.594,19,High,221.0,gray-mayo.net,False
O875628,C00479,P0011,3,12.08,2025-05-08,Delivered,Bank Transfer,North,0.2,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,smithyvonne@yahoo.com,2025-02-09,Male,South,Gold,28.992000000000004,19,Low,44.0,yahoo.com,False
O384964,C00476,P0017,3,34.16,2025-05-07,Delayed,Credit Card,Central,0.15,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,ericaadams@palmer-hancock.com,2025-01-06,Female,East,Bronze,87.10799999999999,19,High,142.0,palmer-hancock.com,True
O796756,C00040,P0027,2,38.66,2025-05-06,Delayed,Credit Card,South,0.05,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,josephjacobs@cooper.net,2025-01-11,Female,East,Gold,73.454,19,High,227.0,cooper.net,True
O291094,C00327,P0026,2,30.11,2025-05-05,Delivered,Credit Card,South,0.0,Storage Product 50,Storage,2025-02-08,27.06,S952,bartonkenneth@gmail.com,2025-04-08,Male,East,Bronze,60.22,19,High,86.0,gmail.com,False
O532899,C00275,P0021,3,20.38,2025-05-04,Delivered,Bank Transfer,East,0.05,Kitchen Product 70,Kitchen,2024-09-28,20.23,S643,tinawoods@smith.com,2024-12-26,Other,West,Gold,58.083,18,Medium,218.0,smith.com,False
O909075,C00073,P0002,3,47.54,2025-05-03,Cancelled,Credit Card,West,0.2,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,michellewhite@yahoo.com,2024-11-30,Female,North,Silver,114.096,18,High,258.0,yahoo.com,False
O619650,C00318,P0029,2,26.67,2025-05-02,Delayed,Credit Card,East,0.05,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,kevinclayton@valdez.com,2024-08-11,Female,West,Gold,50.673,18,Medium,48.0,valdez.com,True
O542524,C00044,P0014,5,49.51,2025-05-01,Delayed,Credit Card,West,0.0,Outdoors Product 91,Outdoors,2025-02-02,13.22,S876,jason31@deleon-henson.biz,2025-03-04,Female,Central,Gold,247.54999999999998,18,High,88.0,deleon-henson.biz,True
O612638,C00377,P0016,4,20.8,2025-05-02,Delayed,Paypal,North,0.0,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,scottsmith@harris-barker.com,2025-06-13,Female,Central,Bronze,83.2,18,Medium,71.0,harris-barker.com,True
O136068,C00421,P0012,1,21.09,2025-05-03,Cancelled,Credit Card,East,0.0,Cleaning Product 29,Cleaning,2025-04-19,14.67,S481,samantha10@gonzalez.info,2025-05-16,Female,West,Gold,21.09,18,Medium,14.0,gonzalez.info,False
